"","X1","DateTime","WaterTemp_c","WSE","AREA","VOLUME","vol_chg","flow","agency_cd","location_id","parameter_cd","parameter_value","lag","precip_event_cm","precip_acc_cm","Depth_m","Depth_cm","precip_pct_chg","precip_pct_tot","depth_pct_chg","depth_pct_tot","Month","Day","Year","Date","Time","storm_event"
"1",1964,2017-11-27 00:00:00,15.282,121.85,23371.5,10338.8450679779,233.113010406494,0.259014456007216,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0.934579439251482,32.047477744807,11,27,2017,2017-11-27,"00:00:00",2
"2",1965,2017-11-27 00:15:00,15.282,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"00:15:00",2
"3",1966,2017-11-27 00:30:00,15.282,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"00:30:00",2
"4",1967,2017-11-27 00:45:00,15.282,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"00:45:00",2
"5",1968,2017-11-27 01:00:00,15.187,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"01:00:00",2
"6",1969,2017-11-27 01:15:00,15.187,121.84,23235.75,10105.7320575714,-233.113010406494,-0.259014456007216,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.07000000000001,107.000000000001,0,6.35551142005958,0,31.7507418397628,11,27,2017,2017-11-27,"01:15:00",2
"7",1970,2017-11-27 01:30:00,15.187,121.84,23235.75,10105.7320575714,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.07000000000001,107.000000000001,0,6.35551142005958,0,31.7507418397628,11,27,2017,2017-11-27,"01:30:00",2
"8",1971,2017-11-27 01:45:00,15.187,121.85,23371.5,10338.8450679779,233.113010406494,0.259014456007216,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0.934579439251482,32.047477744807,11,27,2017,2017-11-27,"01:45:00",2
"9",1972,2017-11-27 02:00:00,15.187,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"02:00:00",2
"10",1973,2017-11-27 02:15:00,15.091,121.84,23235.75,10105.7320575714,-233.113010406494,-0.259014456007216,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.07000000000001,107.000000000001,0,6.35551142005958,0,31.7507418397628,11,27,2017,2017-11-27,"02:15:00",2
"11",1974,2017-11-27 02:30:00,15.091,121.85,23371.5,10338.8450679779,233.113010406494,0.259014456007216,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0.934579439251482,32.047477744807,11,27,2017,2017-11-27,"02:30:00",2
"12",1975,2017-11-27 02:45:00,15.091,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"02:45:00",2
"13",1976,2017-11-27 03:00:00,14.996,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"03:00:00",2
"14",1977,2017-11-27 03:15:00,14.996,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"03:15:00",2
"15",1978,2017-11-27 03:30:00,14.996,121.84,23235.75,10105.7320575714,-233.113010406494,-0.259014456007216,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.07000000000001,107.000000000001,0,6.35551142005958,0,31.7507418397628,11,27,2017,2017-11-27,"03:30:00",2
"16",1979,2017-11-27 03:45:00,14.996,121.85,23371.5,10338.8450679779,233.113010406494,0.259014456007216,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0.934579439251482,32.047477744807,11,27,2017,2017-11-27,"03:45:00",2
"17",1980,2017-11-27 04:00:00,14.804,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.64,0.64,0,1.6256,1.08,108,0,6.35551142005958,0,32.047477744807,11,27,2017,2017-11-27,"04:00:00",2
"18",1981,2017-11-27 04:15:00,14.709,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.66,0.64,0.0508,1.6764,1.08,108,3.125,6.55412115193645,0,32.047477744807,11,27,2017,2017-11-27,"04:15:00",2
"19",1982,2017-11-27 04:30:00,14.613,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.68,0.66,0.0508,1.7272,1.08,108,3.03030303030303,6.75273088381331,0,32.047477744807,11,27,2017,2017-11-27,"04:30:00",2
"20",1983,2017-11-27 04:45:00,14.517,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.68,0.68,0,1.7272,1.08,108,0,6.75273088381331,0,32.047477744807,11,27,2017,2017-11-27,"04:45:00",2
"21",1984,2017-11-27 05:00:00,14.325,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.7,0.68,0.0507999999999998,1.778,1.08,108,2.94117647058822,6.95134061569017,0,32.047477744807,11,27,2017,2017-11-27,"05:00:00",2
"22",1985,2017-11-27 05:15:00,14.23,121.85,23371.5,10338.8450679779,0,0,"CDEC","UCM",NA,0.71,0.7,0.0254,1.8034,1.08,108,1.42857142857142,7.0506454816286,0,32.047477744807,11,27,2017,2017-11-27,"05:15:00",2
