"","x$Date","x$Hour","WSEmax","VOLUME","lag","vol_chg","inflow"
"2713",2018-02-27,13,121.74,7854.92544746399,7854.92544746399,0,0
"2714",2018-02-27,14,121.74,7854.92544746399,7854.92544746399,0,0
"2715",2018-02-27,15,121.74,7854.92544746399,7854.92544746399,0,0
"2716",2018-02-27,16,121.74,7854.92544746399,7854.92544746399,0,0
"2717",2018-02-27,17,121.74,7854.92544746399,7854.92544746399,0,0
"2718",2018-02-27,18,121.74,7854.92544746399,7854.92544746399,0,0
"2719",2018-02-27,19,121.74,7854.92544746399,7854.92544746399,0,0
"2720",2018-02-27,20,121.74,7854.92544746399,7854.92544746399,0,0
"2721",2018-02-27,21,121.74,7854.92544746399,7854.92544746399,0,0
"2722",2018-02-27,22,121.74,7854.92544746399,7854.92544746399,0,0
"2723",2018-02-27,23,121.74,7854.92544746399,7854.92544746399,0,0
"2724",2018-02-28,0,121.74,7854.92544746399,7854.92544746399,0,0
"2725",2018-02-28,1,121.74,7854.92544746399,7854.92544746399,0,0
"2726",2018-02-28,2,121.74,7854.92544746399,7854.92544746399,0,0
"2727",2018-02-28,3,121.74,7854.92544746399,7854.92544746399,0,0
"2728",2018-02-28,4,121.74,7854.92544746399,7854.92544746399,0,0
"2729",2018-02-28,5,121.74,7854.92544746399,7854.92544746399,0,0
"2730",2018-02-28,6,121.74,7854.92544746399,7854.92544746399,0,0
"2731",2018-02-28,7,121.74,7854.92544746399,7854.92544746399,0,0
"2732",2018-02-28,8,121.74,7854.92544746399,7854.92544746399,0,0
"2733",2018-02-28,9,121.73,7638.68040275574,7854.92544746399,-216.245044708252,0
"2734",2018-02-28,10,121.74,7854.92544746399,7638.68040275574,216.245044708252,0.0600680679745144
"2735",2018-02-28,11,121.74,7854.92544746399,7854.92544746399,0,0
"2736",2018-02-28,12,121.74,7854.92544746399,7854.92544746399,0,0
"2737",2018-02-28,13,121.74,7854.92544746399,7854.92544746399,0,0
"2738",2018-02-28,14,121.74,7854.92544746399,7854.92544746399,0,0
"2739",2018-02-28,15,121.73,7638.68040275574,7854.92544746399,-216.245044708252,0
"2740",2018-02-28,16,121.74,7854.92544746399,7638.68040275574,216.245044708252,0.0600680679745144
"2741",2018-02-28,17,121.74,7854.92544746399,7854.92544746399,0,0
"2742",2018-02-28,18,121.74,7854.92544746399,7854.92544746399,0,0
"2743",2018-02-28,19,121.74,7854.92544746399,7854.92544746399,0,0
"2744",2018-02-28,20,121.74,7854.92544746399,7854.92544746399,0,0
"2745",2018-02-28,21,121.74,7854.92544746399,7854.92544746399,0,0
"2746",2018-02-28,22,121.74,7854.92544746399,7854.92544746399,0,0
"2747",2018-02-28,23,121.74,7854.92544746399,7854.92544746399,0,0
"2748",2018-03-01,0,121.74,7854.92544746399,7854.92544746399,0,0
"2749",2018-03-01,1,121.74,7854.92544746399,7854.92544746399,0,0
"2750",2018-03-01,2,121.74,7854.92544746399,7854.92544746399,0,0
"2751",2018-03-01,3,121.74,7854.92544746399,7854.92544746399,0,0
"2752",2018-03-01,4,121.74,7854.92544746399,7854.92544746399,0,0
"2753",2018-03-01,5,121.74,7854.92544746399,7854.92544746399,0,0
"2754",2018-03-01,6,121.74,7854.92544746399,7854.92544746399,0,0
"2755",2018-03-01,7,121.74,7854.92544746399,7854.92544746399,0,0
"2756",2018-03-01,8,121.74,7854.92544746399,7854.92544746399,0,0
"2757",2018-03-01,9,121.74,7854.92544746399,7854.92544746399,0,0
"2758",2018-03-01,10,121.76,8292.3939781189,7854.92544746399,437.468530654907,0.12151903629303
"2759",2018-03-01,11,121.77,8513.54809379578,8292.3939781189,221.15411567688,0.0614316987991333
"2760",2018-03-01,12,121.75,8072.83374786377,8513.54809379578,-440.714345932007,0
"2761",2018-03-01,13,121.75,8072.83374786377,8072.83374786377,0,0
"2762",2018-03-01,14,121.75,8072.83374786377,8072.83374786377,0,0
"2763",2018-03-01,15,121.75,8072.83374786377,8072.83374786377,0,0
"2764",2018-03-01,16,121.76,8292.3939781189,8072.83374786377,219.560230255127,0.0609889528486464
"2765",2018-03-01,17,121.78,8736.58673477173,8292.3939781189,444.192756652832,0.123386876848009
"2766",2018-03-01,18,121.79,8961.23330497742,8736.58673477173,224.646570205688,0.0624018250571357
"2767",2018-03-01,19,121.8,9187.21334838867,8961.23330497742,225.980043411255,0.0627722342809041
"2768",2018-03-01,20,121.81,9414.78351593018,9187.21334838867,227.570167541504,0.0632139354281955
"2769",2018-03-01,21,121.82,9643.77219772339,9414.78351593018,228.988681793213,0.0636079671647814
"2770",2018-03-01,22,121.83,9874.15048027039,9643.77219772339,230.378282546997,0.0639939673741658
"2771",2018-03-01,23,121.83,9874.15048027039,9874.15048027039,0,0
"2772",2018-03-02,0,121.83,9874.15048027039,9874.15048027039,0,0
"2773",2018-03-02,1,121.83,9874.15048027039,9874.15048027039,0,0
"2774",2018-03-02,2,121.83,9874.15048027039,9874.15048027039,0,0
"2775",2018-03-02,3,121.83,9874.15048027039,9874.15048027039,0,0
"2776",2018-03-02,4,121.83,9874.15048027039,9874.15048027039,0,0
"2777",2018-03-02,5,121.83,9874.15048027039,9874.15048027039,0,0
"2778",2018-03-02,6,121.83,9874.15048027039,9874.15048027039,0,0
"2779",2018-03-02,7,121.83,9874.15048027039,9874.15048027039,0,0
"2780",2018-03-02,8,121.83,9874.15048027039,9874.15048027039,0,0
"2781",2018-03-02,9,121.83,9874.15048027039,9874.15048027039,0,0
"2782",2018-03-02,10,121.83,9874.15048027039,9874.15048027039,0,0
"2783",2018-03-02,11,121.83,9874.15048027039,9874.15048027039,0,0
"2784",2018-03-02,12,121.83,9874.15048027039,9874.15048027039,0,0
"2785",2018-03-02,13,121.83,9874.15048027039,9874.15048027039,0,0
"2786",2018-03-02,14,121.83,9874.15048027039,9874.15048027039,0,0
"2787",2018-03-02,15,121.83,9874.15048027039,9874.15048027039,0,0
"2788",2018-03-02,16,121.83,9874.15048027039,9874.15048027039,0,0
"2789",2018-03-02,17,121.83,9874.15048027039,9874.15048027039,0,0
"2790",2018-03-02,18,121.84,10105.7320575714,9874.15048027039,231.581577301025,0.0643282159169515
"2791",2018-03-02,19,121.84,10105.7320575714,10105.7320575714,0,0
"2792",2018-03-02,20,121.84,10105.7320575714,10105.7320575714,0,0
"2793",2018-03-02,21,121.84,10105.7320575714,10105.7320575714,0,0
"2794",2018-03-02,22,121.84,10105.7320575714,10105.7320575714,0,0
"2795",2018-03-02,23,121.84,10105.7320575714,10105.7320575714,0,0
"2796",2018-03-03,0,121.85,10338.8450679779,10105.7320575714,233.113010406494,0.0647536140018039
"2797",2018-03-03,1,121.85,10338.8450679779,10338.8450679779,0,0
"2798",2018-03-03,2,121.85,10338.8450679779,10338.8450679779,0,0
"2799",2018-03-03,3,121.85,10338.8450679779,10338.8450679779,0,0
"2800",2018-03-03,4,121.85,10338.8450679779,10338.8450679779,0,0
"2801",2018-03-03,5,121.85,10338.8450679779,10338.8450679779,0,0
"2802",2018-03-03,6,121.85,10338.8450679779,10338.8450679779,0,0
"2803",2018-03-03,7,121.86,10573.2529449463,10338.8450679779,234.407876968384,0.0651132991578844
"2804",2018-03-03,8,121.85,10338.8450679779,10573.2529449463,-234.407876968384,0
"2805",2018-03-03,9,121.85,10338.8450679779,10338.8450679779,0,0
"2806",2018-03-03,10,121.85,10338.8450679779,10338.8450679779,0,0
"2807",2018-03-03,11,121.85,10338.8450679779,10338.8450679779,0,0
"2808",2018-03-03,12,121.85,10338.8450679779,10338.8450679779,0,0
"2809",2018-03-03,13,121.85,10338.8450679779,10338.8450679779,0,0
"2810",2018-03-03,14,121.85,10338.8450679779,10338.8450679779,0,0
"2811",2018-03-03,15,121.85,10338.8450679779,10338.8450679779,0,0
"2812",2018-03-03,16,121.85,10338.8450679779,10338.8450679779,0,0
"2813",2018-03-03,17,121.86,10573.2529449463,10338.8450679779,234.407876968384,0.0651132991578844
"2814",2018-03-03,18,121.86,10573.2529449463,10573.2529449463,0,0
"2815",2018-03-03,19,121.86,10573.2529449463,10573.2529449463,0,0
"2816",2018-03-03,20,121.86,10573.2529449463,10573.2529449463,0,0
"2817",2018-03-03,21,121.86,10573.2529449463,10573.2529449463,0,0
"2818",2018-03-03,22,121.85,10338.8450679779,10573.2529449463,-234.407876968384,0
"2819",2018-03-03,23,121.86,10573.2529449463,10338.8450679779,234.407876968384,0.0651132991578844
"2820",2018-03-04,0,121.86,10573.2529449463,10573.2529449463,0,0
"2821",2018-03-04,1,121.86,10573.2529449463,10573.2529449463,0,0
"2822",2018-03-04,2,121.85,10338.8450679779,10573.2529449463,-234.407876968384,0
"2823",2018-03-04,3,121.85,10338.8450679779,10338.8450679779,0,0
"2824",2018-03-04,4,121.85,10338.8450679779,10338.8450679779,0,0
"2825",2018-03-04,5,121.85,10338.8450679779,10338.8450679779,0,0
"2826",2018-03-04,6,121.85,10338.8450679779,10338.8450679779,0,0
"2827",2018-03-04,7,121.85,10338.8450679779,10338.8450679779,0,0
"2828",2018-03-04,8,121.85,10338.8450679779,10338.8450679779,0,0
"2829",2018-03-04,9,121.85,10338.8450679779,10338.8450679779,0,0
"2830",2018-03-04,10,121.85,10338.8450679779,10338.8450679779,0,0
"2831",2018-03-04,11,121.85,10338.8450679779,10338.8450679779,0,0
"2832",2018-03-04,12,121.85,10338.8450679779,10338.8450679779,0,0
"2833",2018-03-04,13,121.85,10338.8450679779,10338.8450679779,0,0
"2834",2018-03-04,14,121.85,10338.8450679779,10338.8450679779,0,0
"2835",2018-03-04,15,121.85,10338.8450679779,10338.8450679779,0,0
"2836",2018-03-04,16,121.85,10338.8450679779,10338.8450679779,0,0
"2837",2018-03-04,17,121.85,10338.8450679779,10338.8450679779,0,0
"2838",2018-03-04,18,121.85,10338.8450679779,10338.8450679779,0,0
"2839",2018-03-04,19,121.85,10338.8450679779,10338.8450679779,0,0
"2840",2018-03-04,20,121.85,10338.8450679779,10338.8450679779,0,0
"2841",2018-03-04,21,121.85,10338.8450679779,10338.8450679779,0,0
"2842",2018-03-04,22,121.85,10338.8450679779,10338.8450679779,0,0
"2843",2018-03-04,23,121.85,10338.8450679779,10338.8450679779,0,0
"2844",2018-03-05,0,121.85,10338.8450679779,10338.8450679779,0,0
"2845",2018-03-05,1,121.85,10338.8450679779,10338.8450679779,0,0
"2846",2018-03-05,2,121.85,10338.8450679779,10338.8450679779,0,0
"2847",2018-03-05,3,121.85,10338.8450679779,10338.8450679779,0,0
"2848",2018-03-05,4,121.85,10338.8450679779,10338.8450679779,0,0
"2849",2018-03-05,5,121.85,10338.8450679779,10338.8450679779,0,0
"2850",2018-03-05,6,121.85,10338.8450679779,10338.8450679779,0,0
"2851",2018-03-05,7,121.85,10338.8450679779,10338.8450679779,0,0
"2852",2018-03-05,8,121.85,10338.8450679779,10338.8450679779,0,0
"2853",2018-03-05,9,121.85,10338.8450679779,10338.8450679779,0,0
"2854",2018-03-05,10,121.85,10338.8450679779,10338.8450679779,0,0
"2855",2018-03-05,11,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"2856",2018-03-05,12,121.85,10338.8450679779,10105.7320575714,233.113010406494,0.0647536140018039
"2857",2018-03-05,13,121.85,10338.8450679779,10338.8450679779,0,0
"2858",2018-03-05,14,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"2859",2018-03-05,15,121.84,10105.7320575714,10105.7320575714,0,0
"2860",2018-03-05,16,121.85,10338.8450679779,10105.7320575714,233.113010406494,0.0647536140018039
"2861",2018-03-05,17,121.85,10338.8450679779,10338.8450679779,0,0
"2862",2018-03-05,18,121.85,10338.8450679779,10338.8450679779,0,0
"2863",2018-03-05,19,121.85,10338.8450679779,10338.8450679779,0,0
"2864",2018-03-05,20,121.85,10338.8450679779,10338.8450679779,0,0
"2865",2018-03-05,21,121.85,10338.8450679779,10338.8450679779,0,0
"2866",2018-03-05,22,121.85,10338.8450679779,10338.8450679779,0,0
"2867",2018-03-05,23,121.85,10338.8450679779,10338.8450679779,0,0
"2868",2018-03-06,0,121.85,10338.8450679779,10338.8450679779,0,0
"2869",2018-03-06,1,121.85,10338.8450679779,10338.8450679779,0,0
"2870",2018-03-06,2,121.85,10338.8450679779,10338.8450679779,0,0
"2871",2018-03-06,3,121.85,10338.8450679779,10338.8450679779,0,0
"2872",2018-03-06,4,121.85,10338.8450679779,10338.8450679779,0,0
"2873",2018-03-06,5,121.85,10338.8450679779,10338.8450679779,0,0
"2874",2018-03-06,6,121.85,10338.8450679779,10338.8450679779,0,0
"2875",2018-03-06,7,121.85,10338.8450679779,10338.8450679779,0,0
"2876",2018-03-06,8,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"2877",2018-03-06,9,121.84,10105.7320575714,10105.7320575714,0,0
"2878",2018-03-06,10,121.84,10105.7320575714,10105.7320575714,0,0
"2879",2018-03-06,11,121.85,10338.8450679779,10105.7320575714,233.113010406494,0.0647536140018039
"2880",2018-03-06,12,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"2881",2018-03-06,13,121.84,10105.7320575714,10105.7320575714,0,0
"2882",2018-03-06,14,121.84,10105.7320575714,10105.7320575714,0,0
"2883",2018-03-06,15,121.84,10105.7320575714,10105.7320575714,0,0
"2884",2018-03-06,16,121.84,10105.7320575714,10105.7320575714,0,0
"2885",2018-03-06,17,121.84,10105.7320575714,10105.7320575714,0,0
"2886",2018-03-06,18,121.85,10338.8450679779,10105.7320575714,233.113010406494,0.0647536140018039
"2887",2018-03-06,19,121.85,10338.8450679779,10338.8450679779,0,0
"2888",2018-03-06,20,121.85,10338.8450679779,10338.8450679779,0,0
"2889",2018-03-06,21,121.85,10338.8450679779,10338.8450679779,0,0
"2890",2018-03-06,22,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"2891",2018-03-06,23,121.84,10105.7320575714,10105.7320575714,0,0
"2892",2018-03-07,0,121.85,10338.8450679779,10105.7320575714,233.113010406494,0.0647536140018039
"2893",2018-03-07,1,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"2894",2018-03-07,2,121.85,10338.8450679779,10105.7320575714,233.113010406494,0.0647536140018039
"2895",2018-03-07,3,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"2896",2018-03-07,4,121.84,10105.7320575714,10105.7320575714,0,0
"2897",2018-03-07,5,121.84,10105.7320575714,10105.7320575714,0,0
"2898",2018-03-07,6,121.84,10105.7320575714,10105.7320575714,0,0
"2899",2018-03-07,7,121.84,10105.7320575714,10105.7320575714,0,0
"2900",2018-03-07,8,121.84,10105.7320575714,10105.7320575714,0,0
"2901",2018-03-07,9,121.84,10105.7320575714,10105.7320575714,0,0
"2902",2018-03-07,10,121.84,10105.7320575714,10105.7320575714,0,0
"2903",2018-03-07,11,121.84,10105.7320575714,10105.7320575714,0,0
"2904",2018-03-07,12,121.84,10105.7320575714,10105.7320575714,0,0
"2905",2018-03-07,13,121.84,10105.7320575714,10105.7320575714,0,0
"2906",2018-03-07,14,121.84,10105.7320575714,10105.7320575714,0,0
"2907",2018-03-07,15,121.84,10105.7320575714,10105.7320575714,0,0
"2908",2018-03-07,16,121.84,10105.7320575714,10105.7320575714,0,0
"2909",2018-03-07,17,121.84,10105.7320575714,10105.7320575714,0,0
"2910",2018-03-07,18,121.84,10105.7320575714,10105.7320575714,0,0
"2911",2018-03-07,19,121.84,10105.7320575714,10105.7320575714,0,0
"2912",2018-03-07,20,121.84,10105.7320575714,10105.7320575714,0,0
