"","X1","DateTime","WaterTemp_c","WSE","AREA","VOLUME","vol_chg","flow","agency_cd","location_id","parameter_cd","parameter_value","lag","precip_event_cm","precip_acc_cm","Depth_m","Depth_cm","precip_pct_chg","precip_pct_tot","depth_pct_chg","depth_pct_tot","Month","Day","Year","Date","Time","storm_event"
"1",5996,2018-01-08 00:00:00,12.98,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"00:00:00",6
"2",5997,2018-01-08 00:15:00,12.883,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"00:15:00",6
"3",5998,2018-01-08 00:30:00,12.883,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"00:30:00",6
"4",5999,2018-01-08 00:45:00,12.883,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"00:45:00",6
"5",6000,2018-01-08 01:00:00,12.883,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"01:00:00",6
"6",6001,2018-01-08 01:15:00,12.883,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"01:15:00",6
"7",6002,2018-01-08 01:30:00,12.883,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"01:30:00",6
"8",6003,2018-01-08 01:45:00,12.787,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"01:45:00",6
"9",6004,2018-01-08 02:00:00,12.787,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"02:00:00",6
"10",6005,2018-01-08 02:15:00,12.787,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"02:15:00",6
"11",6006,2018-01-08 02:30:00,12.787,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"02:30:00",6
"12",6007,2018-01-08 02:45:00,12.787,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"02:45:00",6
"13",6008,2018-01-08 03:00:00,12.787,121.77,22214,8513.54809379578,0,0,"CDEC","UCM",NA,1.53,1.53,0,3.8862,1,100,0,15.1936444885799,0,29.673590504451,1,8,2018,2018-01-08,"03:00:00",6
