"","X1","DateTime","WaterTemp_c","WSE","AREA","VOLUME","vol_chg","flow","agency_cd","location_id","parameter_cd","parameter_value","lag","precip_event_cm","precip_acc_cm","Depth_m","Depth_cm","precip_pct_chg","precip_pct_tot","depth_pct_chg","depth_pct_tot","Month","Day","Year","Date","Time","storm_event"
"1",6764,2018-01-16 00:00:00,10.553,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"00:00:00",5
"2",6765,2018-01-16 00:15:00,10.553,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"00:15:00",5
"3",6766,2018-01-16 00:30:00,10.455,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"00:30:00",5
"4",6767,2018-01-16 00:45:00,10.455,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"00:45:00",5
"5",6768,2018-01-16 01:00:00,10.455,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"01:00:00",5
"6",6769,2018-01-16 01:15:00,10.455,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"01:15:00",5
"7",6770,2018-01-16 01:30:00,10.357,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"01:30:00",5
"8",6771,2018-01-16 01:45:00,10.357,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"01:45:00",5
"9",6772,2018-01-16 02:00:00,10.357,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"02:00:00",5
"10",6773,2018-01-16 02:15:00,10.357,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"02:15:00",5
"11",6774,2018-01-16 02:30:00,10.357,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"02:30:00",5
"12",6775,2018-01-16 02:45:00,10.357,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"02:45:00",5
"13",6776,2018-01-16 03:00:00,10.259,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"03:00:00",5
"14",6777,2018-01-16 03:15:00,10.259,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"03:15:00",5
"15",6778,2018-01-16 03:30:00,10.259,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"03:30:00",5
"16",6779,2018-01-16 03:45:00,10.259,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"03:45:00",5
"17",6780,2018-01-16 04:00:00,10.259,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"04:00:00",5
"18",6781,2018-01-16 04:15:00,10.259,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"04:15:00",5
"19",6782,2018-01-16 04:30:00,10.161,121.82,22963.25,9643.77219772339,-230.378282546997,-0.255975869496663,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.05,105,0,31.3803376365442,0,31.1572700296735,1,16,2018,2018-01-16,"04:30:00",5
"20",6783,2018-01-16 04:45:00,10.161,121.83,23100,9874.15048027039,230.378282546997,0.255975869496663,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0.952380952381437,31.4540059347181,1,16,2018,2018-01-16,"04:45:00",5
"21",6784,2018-01-16 05:00:00,10.161,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"05:00:00",5
"22",6785,2018-01-16 05:15:00,10.161,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"05:15:00",5
"23",6786,2018-01-16 05:30:00,10.161,121.82,22963.25,9643.77219772339,-230.378282546997,-0.255975869496663,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.05,105,0,31.3803376365442,0,31.1572700296735,1,16,2018,2018-01-16,"05:30:00",5
"24",6787,2018-01-16 05:45:00,10.161,121.83,23100,9874.15048027039,230.378282546997,0.255975869496663,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0.952380952381437,31.4540059347181,1,16,2018,2018-01-16,"05:45:00",5
"25",6788,2018-01-16 06:00:00,10.161,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"06:00:00",5
"26",6789,2018-01-16 06:15:00,10.161,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"06:15:00",5
"27",6790,2018-01-16 06:30:00,10.063,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"06:30:00",5
"28",6791,2018-01-16 06:45:00,10.063,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"06:45:00",5
"29",6792,2018-01-16 07:00:00,10.063,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"07:00:00",5
"30",6793,2018-01-16 07:15:00,10.161,121.83,23100,9874.15048027039,0,0,"CDEC","UCM",NA,3.16,3.16,0,8.0264,1.06,106,0,31.3803376365442,0,31.4540059347181,1,16,2018,2018-01-16,"07:15:00",5
