DateTime,Observed_Depth
11/6/2017 13:00,0.42
11/11/2017 14:45,0.41
11/17/2017 14:00,0.4
11/20/2017 10:30,0.39
12/4/2017 10:45,0.37
12/15/2017 9:45,0.35
12/19/2017 10:45,0.33
1/10/2018 11:45,0.37
2/1/2018 10:45,0.34
2/15/2018 11:45,0.29
3/11/2018 11:45,0.37
4/3/2018 12:15,0.95
4/13/2018 10:00,1.03
4/26/2018 11:15,0.8
5/1/2018 9:15,0.94
5/23/2018 9:30,0.78
7/19/2018 8:45, 0.21
